inter,comm
29205,0
29205,0
37536,0
37536,0
37536,0
37536,0
37536,0
37536,0
11159,0
11159,0
11159,0
11159,0
11159,0
11159,0
11159,0
6858,0
6858,0
6858,0
6858,0
6858,0
6858,0
6858,0
6858,0
6858,0
6858,0
6858,0
6858,0
6981,0
6981,0
6981,0
6981,0
6981,0
6981,0
6981,0
6981,0
6981,0
6981,0
6981,0
6981,0
6812,0
6812,0
6812,0
29364,0
29364,0
29364,0
29364,0
29364,0
29364,0
29364,0
29364,0
29364,0
29364,0
6831,0
6831,0
6831,0
6831,0
6831,0
14479,0
14479,0
14479,0
14479,0
14479,0
14479,0
14479,0
14479,0
14479,0
14479,0
28681,0
28681,0
28681,0
28681,0
28681,0
28681,0
28681,0
28681,0
28681,0
28681,0
28681,0
28681,0
28681,0
28681,0
28681,0
28681,0
28681,0
28772,0
28772,0
28772,0
28772,0
28772,0
28772,0
28772,0
28772,0
28772,0
6466,0
6466,0
6466,0
6466,0
6466,0
6466,0
6466,0
6466,0
6466,0
6461,0
6461,0
6461,0
6461,0
6461,0
6461,0
6461,0
6461,0
6461,0
6461,0
6461,0
37731,0
37731,0
19820,0
19820,0
19820,0
19820,0
19820,0
19820,0
19820,0
45428,0
45428,0
45428,0
45428,0
45428,0
45428,0
45428,0
45428,0
45428,0
45428,0
45428,0
45428,0
45428,0
45428,0
45428,0
962,0
962,0
962,0
962,0
962,0
962,0
962,0
962,0
962,0
962,0
962,0
962,0
962,0
962,0
962,0
962,0
962,0
962,0
962,0
20219,0
20219,0
20219,0
20219,0
20219,0
20219,0
20219,0
20219,0
20219,0
20219,0
20219,0
21213,0
21213,0
21213,0
21213,0
10314,0
10314,0
10314,0
10314,0
10314,0
10314,0
10314,0
10314,0
10314,0
10314,0
10314,0
10314,0
10314,0
10314,0
10314,0
10314,0
21529,0
21529,0
21529,0
21529,0
21529,0
21529,0
21529,0
21529,0
21529,0
21529,0
21529,0
20991,0
20991,0
20991,0
20991,0
20991,0
20991,0
20991,0
20991,0
20991,0
20991,0
1172,0
1172,0
22018,0
22018,0
22018,0
22018,0
22018,0
22018,0
22018,0
22018,0
22018,0
22018,0
22018,0
22018,0
22018,0
22018,0
22018,0
22018,0
22018,0
21001,0
21001,0
21001,0
21001,0
21001,0
21001,0
21001,0
21001,0
21001,0
21001,0
21001,0
21001,0
21001,0
21001,0
21001,0
21001,0
21001,0
21001,0
21001,0
21001,0
21001,0
45050,0
21003,0
21003,0
21003,0
21003,0
21003,0
21003,0
21003,0
21003,0
20495,0
20495,0
20495,0
20495,0
20495,0
20495,0
20495,0
20495,0
20495,0
20495,0
20495,0
20495,0
20495,0
20495,0
1104,0
1104,0
1104,0
1104,0
1104,0
1104,0
1104,0
1104,0
1259,0
1259,0
1259,0
1259,0
1259,0
33442,0
33442,0
33442,0
33442,0
823,0
823,0
823,0
823,0
823,0
823,0
20228,0
20228,0
20228,0
20228,0
20228,0
20228,0
20228,0
20228,0
20228,0
20228,0
21382,0
21382,0
21382,0
21382,0
21382,0
21382,0
21382,0
21382,0
21382,0
21382,0
21382,0
21382,0
