user,inter
13991,41809
197,41809
13419,41809
6230,41809
4943,41809
19991,41809
5807,41809
12707,41809
5831,41809
737,41809
16454,41809
1274,32782
3482,32782
12376,32782
197,32782
15880,32782
6304,32782
12482,32782
7906,32782
6795,32782
7210,32782
8306,32782
1274,17650
15405,17650
940,17650
8208,17650
5831,17650
13250,17650
5606,17650
1469,17650
1274,3284
6101,3284
7010,3284
6817,3284
1646,3284
17726,3284
4997,3284
15845,3284
1274,25682
17220,25682
5001,25682
3189,25682
20279,25682
8611,25682
12482,25682
1274,3567
14103,3567
13991,3567
6781,3567
5887,3567
1743,3567
6101,3567
6230,3567
21366,3567
22349,3567
7075,3567
13354,3567
5415,3567
2920,3567
1935,3567
21861,3567
1274,25418
5841,25418
5591,25418
8504,25418
23334,25418
1274,4595
22066,4595
20518,4595
1274,16226
9322,16226
17220,16226
940,16226
16873,16226
10089,16226
5001,16226
19095,16226
12482,16226
6005,16226
8097,16226
1274,5017
9322,5017
13991,5017
6547,5017
197,5017
6101,5017
4943,5017
12707,5017
